Title,Description,Category,Collection,Tags,Vendor,Product type ,Price,weight,skunumber
Versace Blue Jeans Eau de Toilette Spray 75ml,"A classic scent since 1994, you can‚Äôt go wrong with a bottle of Versace Versus Blue Jeans Eau de Toilette. The masculine fragrance features a blend of woody, citrus and floral notes. It‚Äôs a timeless scent for any man keen to radiate casual cool.

An ideal option for everyday use, buy it in a portable 75ml size. Versace Blue Jeans also comes in a vintage-inspired bottle featuring denim blue glass, a fantastic fragrance for yourself or a gift.

Notes: bergamot, lemon, anise, basil, palisander, rose, lavender, geranium, sage, heliotrope, lily, vanilla, tonka bean, iris, musk, sandalwood, amber, cedar, patchouli, vetiver",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Versace,25.5,75ml,2011
Aramis Aramis Eau de Toilette Spray 240ml,"Aramis eau de toilette spray for men is a woody and aromatic perfume, opening with top notes of aldehydes, artemsia, gardenia and bergamot, blending with a heart of patchouli, sage, orris root and cardamom, all of which sits on top of a smooth base of leather, sandalwood, amber and musk.

Fragrance Direct customers are big fans of the Aramis collection of perfumes and toiletries, and this Aramis eau de toilette spray for men is sure to become a popular purchase for its intense and masculine aroma that makes it the perfect perfume for evening occasions.

Aramis is a branch of perfumes and toiletries that is part of Estee Lauder, one of the biggest beauty brands in the world. Aramis was founded in 1964, and specialised in producing perfumes and other grooming products for men. Today, Aramis continues to be an ever popular brand of male perfumes under the Estee Lauder umbrella.

Please note: We are unable to ship fragrances over 150ml outside of the UK.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Aramis,76.5,240ml,2012
Armaf Club De Nuit Intense Man Eau de Parfum Spray 200ml,"A sophisticated masculine fragrance with bold tones of citrus, wood and spice. Club De Nuit Intense Man invites a fresh head of lemon, bergamot, pineapple, apple and blackcurrant. The heart features distinctive elements of birch, rose and jasmine. A final accord combines ambergris, musk, vanilla and patchouli.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Armaf,92.48,200ml,2013
Armani Acqua Di Gi√≤ Parfum 75ml,"Giorgio Armani introduces Acqua di Gi√≤ Parfum: a deep & intense freshness, now refillable on all formats. The powerful fragrance is distinguished by its incense notes, which bring an incandescent intensity to the emblematic marine notes of Acqua di Gi√≤. The result is a charismatic, vibrant fragrance with an aura of mystery, that is representative of a rugged landscape meeting the ocean's strength and immensity.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Armani,145.35,75ml,2014
Calvin Klein Man Eau de Toilette 100ml,"Man Eau de Toilette captures the essence of the modern Calvin Klein man. Bursting with crisp freshness, exotic spices, and rich woods. Sexy and stylish, it embodies the simplicity of contemporary luxury and style.

A fragrance built on rich, earthy notes. Exotic cypress wood, guaiac wood, and amberwood set the tone. Bay, nutmeg, and incense layer the scent, culminating with top notes of rosemary, mandarin, and violet leaf. Fresh and bright, yet complex and deep. Minimalism with meaning.

A fragrance for modern men who appreciate the rich, happy simplicity of a minimalist lifestyle. The ease of """"less is more,"""" where the purity of single ingredients carries the intended message. A scent that celebrates introspection, for men who know exactly what they want.

Fragrance Family: Woody
Top Notes: Rosemary, mandarin, bergamot, violet leaf
Heart Notes: Bay leaves, nutmeg, incense, spearmint
Base Notes: Cypress wood, guaiac wood, amberwood, musk",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Calvin Klein,39.1,100ml,2015
Moschino Uomo? Eau de Toilette Spray 125ml,"UOMO? That's the question! A fresh and fragrant scent to reawaken the sense of smell of modern man who's increasingly perplexed in a society that questions roles and genres, that prefers a nice guy attitude to a tough guy stance, that favours the brain builder over the body-builder. Through the question mark of UOMO?, Moschino's men's fragrance exemplifies a cultural doubt that crosses, like a sceptical shiver, through the entire concept of virility in traditional men's perfumes. UOMO? comes in a bottle resembling a whisky flask that deliberately evokes an almost cinematographic citation of masculinity.

Fresh and sparkling top notes of coriander grains, kumquat, new hedione and rosewood give way to a heart of cyclamen, cinnamon leaves and clary sage. Base notes of cedarwood, artemisia, sunlight accord, amber wood and musk round out this intriguing Aromatic/Floral/Musk fragrance.Moschino Uomo is a musky fragrance of cedar wood and fruit.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Moschino,35.87,125ml,2016
Yardley Urbane Eau de Parfum Spray 100ml,"Yardley Gentleman Urbane Eau de Toilette Spray 100ml is a flamboyant, dynamic fragrance with a blend of bergamot and lavender on top, followed by masculine notes of thyme and tarragon, settling into a rich dry down of sandalwood, patchouli and musk.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Yardley,22.61,100ml,2017
Lacoste L.12.12 Blanc Eau de Toilette Spray 100ml,"L.12.12 Blanc Eau de Toilette, inspired by the iconic Lacoste polo shirt, reveals a confident and agile masculinity. Reinvent the rules of the game thanks to the freshness of this crisp scent. Juicy grapefruit and spicy cardamom mix with vetiver and soft suede, culminating in a sense of cool elegance and comfort. Perfumer: Olivier Pescheux",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Lacoste,76.16,100ml,2018
Bentley For Men Intense Eau de Parfum Spray 100ml,"Bentley for Men Intense Eau de Parfum 100ml is a rugged and masculine scent that‚Äôs perfect for special occasions. With strong leather and woody tones, this memorable Bentley aftershave will be the ideal addition to any line-up.

Enjoy notes of cinnamon, black pepper, incense, and sandalwood with every spray of this Bentley for Men fragrance. The amber liquid and silver detailed bottle means this Bentley aftershave is a stylish gift too.

Notes: bergamot, black pepper, bay leaf, sage, geranium, cinnamon, rum, woods, leather, benzoin, incense, cedar, patchouli",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Bentley,45.815,100ml,2019
Davidoff Cool Water Intense Man Eau de Parfum Spray 75ml,"Cool Water Intense, Davidoff, Eau de Parfum. Discover the Intense freshness from the sea.

Davidoff, for the first time has revisited Cool Water's freshness with an ethically sourced ingredient: the green mandarin. This handpicked citrus was harvested by a community in the Vale Do Ca√≠ in Brazil, as part of a sustainable sourcing partnership monitored by the perfume creator.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Davidoff,42.5,75ml,2020
Davidoff Cool Water Intense Man Eau de Parfum Spray 125ml,"Cool Water Intense, Davidoff, Eau de Parfum. Discover the Intense freshness from the sea.

Davidoff, for the first time has revisited Cool Water's freshness with an ethically sourced ingredient: the green mandarin. This handpicked citrus was harvested by a community in the Vale Do Ca√≠ in Brazil, as part of a sustainable sourcing partnership monitored by the perfume creator.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Davidoff,59.5,125ml,2021
HUGO BOSS BOSS No1 Eau de Toilette 100ml,"This fragrance is for the man who never settles for less than the best, opening with fresh, invigorating nutmeg and cardamom, fused with a heart of patchouli and sandalwood. Warm and enticing balsamic accords complete the distinctive fragrance. Introduce a deeper character to your scent collection with this aromatic spray.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,HUGO BOSS,54.23,100ml,2022
Cerruti 1881 Pour Homme Eau de Toilette Spray 100ml,"Nino Cerruti 1881 Pour Homme Eau de Toilette spray for men is a light, fruity fragrance, opening with top notes of rose, berry, spices, lavender and lemon, flowing into a heart of blackberry extract, ginkgo and clove, atop a smooth base of sandalwood, musk and saffron.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Cerruti,48.45,100ml,2023
Laurelle Executive Man Aqua Eau de Toilette Spray 100ml,"Laurelle Executive Man Aqua is a crisp, spicy fragrance for the modern man",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Laurelle,16.915,100ml,2024
JOOP! Go Eau de Toilette Spray 200ml,"Masculine and fashionable, Joop Go Eau de Toilette is a woody aromatic men's fragrance which invigorates and refreshes the wearer. A bold scent, Joop Go is a mix of top notes of Rhubarb, Pimento and Bitter Orange, heart notes are Cypress, Violet and Bourbon Geranium and base notes of Musk and Balsam Fir.

Joop Go comes in a bright green glass bottle and is a must have fragrance for men who appreciate bold, distinctive fragrances with a natural aroma.

Please note: We are unable to ship fragrances over 150ml outside of the UK.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,JOOP!,51.255,200ml,2025
Armaf Club De Nuit Intense Man Eau de Parfum Spray 30ml,"A sophisticated masculine fragrance with bold tones of citrus, wood and spice. Club De Nuit Intense Man invites a fresh head of lemon, bergamot, pineapple, apple and blackcurrant. The heart features distinctive elements of birch, rose and jasmine. A final accord combines ambergris, musk, vanilla and patchouli.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Armaf,40.715,30ml,2026
Rabanne Pure XS Eau de Toilette 50ml,"Pure XS Eau de Toilette for men by Rabanne, raises the tension and disorients the senses. Expect the unexpected. A fresh scent, with notes of ginger and sweet vanilla.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Rabanne,62.815,50ml,2027
Rabanne Pour Homme Eau de Toilette 100ml,The Rabanne Pour Homme aftershave provides a feeling of comfort and freshness to the skin while leaving it delicately scented. The aftershave prolongs and enhances the experience of the aromatic fern notes in this classic Rabanne signature scent.,Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Rabanne,84.915,100ml,2028
Calvin Klein Euphoria Men Eau de Toilette 100ml,"Tempting, exciting, and daring. Euphoria for Men is an Eau de Toilette that personifies masculine sensuality. Euphoria brings the promise of unforgettable memories, awakening the spirit and inspiring new experiences.

Intensely luxurious, Euphoria Eau de Toilette is a rich fragrance that opens with spicy ginger and pepper alongside chilled sudachi accord. An exciting blend of black basil and cedar leaf envelops the scent further, layered with creamy suede accord and Brazilian redwood. Addictive patchouli accord finishes the fragrance and leaves you wanting more.

Euphoria embodies masculine sensuality and strength. Approachable, warm, and seductive. A fragrance that is naturally charismatic.

Fragrance Family: Aromatic
Top Notes: Ginger Pepper Cocktail, Raindrop Accord, Chilled Sudachi Accord
Heart Notes: Black Basil, Cedar Leaf, Hydroponic Sage
Base Notes: Creamy Suede Accord, Addictive Patchouli Accord, Brazilian Redwood, Solid Amber Accord",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Calvin Klein,59.415,100ml,2029
Calvin Klein CK One Gold Eau de Toilette 100ml,"CK One Gold is a bold and unapologetic fragrance made to stand out. Unconstrained by traditional gender norms, it fuses the energy of all sexes into a fragrance that is singularly captivating. Demanding attention and bursting with confidence - a liquid gold for everyone.

Embodying the allure of radiant youth. An energetic freshness of fig is followed by a bright heart of neroli and layered with vibrant, sensual vetiver.

A daring, confident fragrance that transcends time, place, and gender.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Calvin Klein,42.5,100ml,2030
Laurelle Code Red Eau de Toilette Spray 100ml,Code Red by Laurelle is marked with a decisive cut of marine and citrus energy. A crest of grapefruit and ozone notes create a fresh and liberating flavour. The heart brings bay leaf and jasmine for a sweet aromatic touch. The base concludes with smooth patchouli and oakmoss.,Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Laurelle,16.915,100ml,2031
JOOP! Jump Eau de Toilette Spray 200ml,"Joop! Jump EDT Spray is an Aromatic Fougere fragrance for men, representing the new millennium a fresh and invigorating fragrance for easy going, modern men. It is fruity blend of Grapefruit, Caraway and Rosemary top notes, heart notes of Heliotrope and Coriander and base notes of Vetiver, Tonka Bean and Musk. Joop! Jump is reminiscent of frozen vodka a sexy and refreshing scent for men.

Joop! Jump EDT Spray comes in a smooth blue glass bottle. A modern and intense fragrance for men, it is perfect for everyday wear.

Please note: We are unable to ship fragrances over 150ml outside of the UK.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,JOOP!,59.5,200ml,2032
JOOP! Homme Wild Eau de Toilette Spray 125ml,"Joop! Homme Wild Eau de Toilette is a bold and unreserved perfume for men with many contrasts. Inspired by a raw virility spirit, Joop! Wild runs free. The man who wears it is instinctively sexy and his perfume triggers an instant and irresistible attraction.

A hot and vibrant base note of woody blond tobacco, brings warmth and sensuality to the Rum and gives JOOP! Homme Wild a velvety softness. In contrast with this voluptuousness, the sparkling top notes of pink pepper add a very dynamic and masculine touch.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,JOOP!,39.865,125ml,2033
Tommy Hilfiger Impact Eau de Toilette Spray 100ml Gift Set,"For those who dare to dream and those who strive to do, Impact Eau de Toilette is a woody aromatic scent for men who are ready to take on the world. Supported by striking citrus, smoky aromatics and a trio of precious wood notes, Impact empowers the next generation of visionaries through a captivating coca leaf accord and balancing Akigalawood¬Æ, a spicy, woody extract of patchouli. Bold and dynamic, Impact awakens the senses and encourages you to go after your own great story. It's time to go for Impact.

Set includes:
- Tommy Hilfiger Tommy Impact Eau de Toilette Spray 100ml
- Tommy Hilfiger Tommy Impact Eau de Toilette Spray 4ml
- Tommy Hilfiger Tommy Impact Hair & Body Wash 100ml",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Tommy Hilfiger,73.95,100ml,2034
HUGO BOSS BOSS The Scent For Him Aftershave Lotion 100ml,"BOSS The Scent is the seductive perfume for Men by BOSS Fragrances. An irresistible fragrance, unforgettable like a savoured seduction. Exquisite notes of Ginger, exotic Maninka and Leather unfold over time, seducing the senses. Finish off your shaving routine with a splash of this addictive fragrance.

Fragrance Family: Amber
Top Note: Ginger
Heart Note: Maninka Fruit
Base Notes: Leather Accord",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,HUGO BOSS,68.85,100ml,2035
Laurelle Code Blue Eau de Toilette Spray 100ml,"Code Blue is a cool and refreshing fragrance, it carries a bold and masculine energy.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Laurelle,16.915,100ml,2036
Hollister Wave for Him Eau de Toilette 100ml,"Confident and spirited, Hollister Wave for Him takes its inspiration from the fresh energy of his lifestyle. This fragrance is made for an effortlessly cool guy with a laid-back attitude.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Hollister,30.6,100ml,2037
Armaf Club De Nuit Urban Man Elixir Eau de Parfum Spray 105ml,"The new vision of masculinity

The man of today who embraces machismo and expresses how he presents himself to the world.

Top Notes: Bergamot, Pink Pepper, Orange Blossom, Jasmine
Middle Notes: Lavender, Tagetes, Geranium, Vetiver, Elemi, Saffron
Base Notes: Ambroxan, Amber, Patchouli, Cedar, Labdanum",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Armaf,67.49,105ml,2038
Hollister Wave for Him Eau de Toilette 100ml,"Confident and spirited, Hollister Wave for Him takes its inspiration from the fresh energy of his lifestyle. This fragrance is made for an effortlessly cool guy with a laid-back attitude.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Hollister,30.6,100ml,2039
HUGO BOSS BOSS The Scent For Him Eau de Toilette Spray 100ml Gift Set,"Give him a unique gift this Christmas season, with the irresistible BOSS The Scent Eau de Toilette giftset. Inspired by the new BOSS identity, this giftset is the ultimate gift for your loved ones.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,HUGO BOSS,117.3,100ml,2040
Perfumer's Choice No. 10 Mojo Eau de Parfum Spray 83ml,"DISTINCTIVE, WARM AND EXOTIC. For a men's fragrance that blends fresh, aromatic notes with a popular woody base, we've designed Mojo. Indulge in amber, oud and tonka beans with this amber perfume for men.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Perfumer's Choice,23.205,83ml,2041
Montblanc Explorer Eau de Parfum 200ml,"Montblanc shares the same values as explorers, such as the relentless quest for excellence. Climbing summits, challenging conventions and exploring the four corners of the globe. From South Africa to Haiti, Italy, Germany or Indonesia; Montblanc Explorer invites explorers on a fantastic journey, giving them the opportunity to discover the rarest ingredients and manufacturing methods that combine craftsmanship with the latest technology.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Montblanc,169.83,200ml,2042
Perfumer's Choice No. 9 Victor Eau de Parfum Spray 83ml,"FRESH, SENSUAL AND MASCULINE. An iconic male fragrance, ‚Ññ9 Victor has been carefully designed by our expert perfumers. Full of invigorating notes including apple, bergamot and pineapple, this perfume for men is refreshing, sensual and aromatic.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Perfumer's Choice,23.8,83ml,2043
Jaguar Gold Men Eau de Toilette Spray 100ml,"The fresh, citrusy aroma of the jaguar classic gold fragrance is the perfect accessory for the active man who also has a taste for luxury and beauty . Launched in 2013 by the design house of jaguar, this addictive scent catches your attention with its lime and apple top notes that slowly make room for a heart of orange blossom. Patchouli and musk create a rich and delightful fragrance base that makes you feel refined as well as powerful.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Jaguar,24.99,100ml,2044
Hermes Terre D'Hermes Pure Perfume Spray 75ml,"A fantastic fragrance created in 2006, Terre D'Hermes is for the man who is a poet by nature, someone who sees the extraordinary in the ordinary. Terre D'Herm√®s contains a large amount of woody notes, including Atlas cedar. It's also a mix of grapefruit, effervescent orange, gunflint, silex, pepper, baies roses, geranium leaves, patchouli, vetiver and balm of benzoin.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Hermes,152.983,75ml,2045
Armaf Tag Him Eau de Parfum Spray 100ml,"Tag-Him by Armaf is a Woody Spicy fragrance for men. Top notes are Grapefruit, Lemon, Pink Pepper and Bergamot; middle notes are Ginger, Mint, Nutmeg and Lavender; base notes are Vetiver, Sandalwood, Patchouli and Cedar.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Armaf,38.25,100ml,2046
Burberry London For Men Eau de Toilette Spray 100ml,"Burberry London for Men Eau de Toilette Spray is the 150th-anniversary celebration scent from the iconic fashion house. A timeless fragrance designed to represent the classic English gentleman, Burberry London for Men boasts notes of bergamot, black pepper, and leather.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Burberry,101.915,100ml,2047
Davidoff Cool Water Man Grapefruit and Sage Eau de Toilette Spray 125ml,"Discover Cool Water Grapefruit & Sage, the new limited edition Eau de Toilette for him, by Davidoff.

Experience the untamed freshness of the ocean, blended with a powerful duet of naturals. Be empowered by the zesty burst of generous grapefruit contrasting with the intense, aromatic trail of the sage. An exclusive fresh amber scent, crafted with 90% ingredients from natural origin and 100% vegan.

Answer the call of the ocean and dive into this new Cool Water limited edition.

Fragrance Family: Fresh
Top Note: Grapefruit
Heart Note: Clary Sage",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Davidoff,56.015,125ml,2048
Lalique Encre Noire Eau de Toilette Spray 100ml,"Encre Noire by Lalique is an enigmatic fragrance, a tale told to a tenebrous, elegant man.It's a woody adventure with vetiver for a hero.A bold and generous wood scent.Sheathed in a bottle composed of exotic wood and black glass, evoking an ink bottle.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Lalique,46.75,100ml,2049
Tommy Hilfiger Tommy Man Eau de Toilette Spray 30ml,"This beautiful Tommy Hilfiger EDT provides you with the experience of the American dream, bursting with energy and enthusiasm. It contains base notes of cinnamon and apple pie, finishing with cranberry and tangy citrus.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Tommy Hilfiger,26.35,30ml,2050
Jean Paul Gaultier Le Male Aftershave Lotion 125ml,"This aftershave lotion from Jean Paul Gaultier Le Male is soothing and invigorating. It will leave the skin feeling fresh, toned and awake. The freshness of peppermint extract, lightly scented with the Le Male fragrance moisturises and nourishes skin soothing and calming razor burn.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Jean Paul Gaultier,85.765,125ml,2051
Tommy Hilfiger Tommy Hilfiger Eau de Toilette Spray 50ml,"Tommy Hilfiger EDT is aimed at the male audience. This brings you the crisp, citrusy and modern fantasy scent you could dream of.",Perfume & Cologne,,"Aerosol products,
AfterShave,
Menís,
Menís fragrance,
All Menís perfume",,Tommy Hilfiger,37.4,50ml,2052
